est_x,est_y,est_theta,truth_x,truth_y,truth_theta
1.892541,1.013752,0.091019,-4.076903,0.077511,0.105346
1.911525,1.003321,0.163323,-4.076869,0.077564,0.154186
1.880478,1.117404,0.226312,-4.076874,0.077669,0.241244
1.906154,1.091228,0.332032,-4.076688,0.077634,0.332881
1.936084,1.084955,0.449801,-4.076384,0.077747,0.419941
1.922970,1.136251,0.519245,-4.076179,0.077861,0.493139
1.978446,1.074960,0.569372,-4.076359,0.077770,0.573388
1.737297,0.994516,0.613901,-4.076572,0.077643,0.647743
1.930817,1.042927,0.747642,-4.076758,0.077522,0.721949
1.893360,1.036145,0.774057,-4.071337,0.082782,0.778434
1.986898,1.140753,0.765078,-4.053360,0.101353,0.830771
1.977246,1.119514,0.868668,-4.042846,0.113772,0.884660
2.009722,1.097305,0.897471,-4.025469,0.136230,0.945462
1.992927,1.157865,0.977447,-4.024142,0.138156,0.997645
1.970711,1.136792,1.038908,-4.023963,0.138451,1.054309
1.923929,1.163445,1.145090,-4.023791,0.138796,1.108401
1.982253,1.196987,1.203615,-4.019220,0.148868,1.155724
1.971081,1.204750,1.189585,-4.004530,0.184090,1.188476
1.952752,1.200797,1.211408,-3.984105,0.237674,1.224533
2.050287,1.329742,1.265797,-3.966128,0.291137,1.263707
2.090365,1.421351,1.309363,-3.949676,0.346956,1.299376
2.111859,1.368275,1.315194,-3.938703,0.389366,1.337203
2.109346,1.332531,1.420835,-3.935042,0.406513,1.389875
2.041626,1.442812,1.404697,-3.934921,0.407123,1.455212
2.016283,1.372555,1.507893,-3.934890,0.407475,1.512606
2.123861,1.411217,1.606474,-3.934882,0.407782,1.561996
2.021210,1.431457,1.569454,-3.935141,0.415657,1.611711
1.972996,1.389533,1.634968,-3.936267,0.435092,1.658253
2.078335,1.409087,1.652652,-3.937232,0.443044,1.699584
1.948994,1.542365,1.742432,-3.943436,0.484012,1.731595
